uri,notation,label_sv,label_en
https://id.kb.se/term/ssif/1,,Naturvetenskap,Natural sciences
https://id.kb.se/term/ssif/101,,Matematik,Mathematics
https://id.kb.se/term/ssif/10101,,Matematisk analys,Mathematical Analysis
https://id.kb.se/term/ssif/10102,,Geometri,Geometry
https://id.kb.se/term/ssif/10103,,Algebra och logik,Algebra and Logic
https://id.kb.se/term/ssif/10104,,Diskret matematik,Discrete Mathematics
https://id.kb.se/term/ssif/10105,,Beräkningsmatematik,Computational Mathematics
https://id.kb.se/term/ssif/10106,,Sannolikhetsteori och statistik,Probability Theory and Statistics
https://id.kb.se/term/ssif/10199,,Annan matematik,Other Mathematics
https://id.kb.se/term/ssif/102,,Data- och informationsvetenskap (Datateknik),Computer and Information Sciences
https://id.kb.se/term/ssif/10201,,Datavetenskap (datalogi),Computer Sciences
https://id.kb.se/term/ssif/10202,,"Systemvetenskap, informationssystem och informatik (samhällsvetenskaplig inriktning under 50804)",Information Systems (Social aspects to be 50804)
https://id.kb.se/term/ssif/10203,,Bioinformatik (beräkningsbiologi) (tillämpningar under 10610),Bioinformatics (Computational Biology) (applications to be 10610)
https://id.kb.se/term/ssif/10204,,Människa-datorinteraktion (interaktionsdesign) (Samhällsvetenskapliga aspekter under 50803),Human Computer Interaction (Social aspects to be 50803)
https://id.kb.se/term/ssif/10205,,Programvaruteknik,Software Engineering
https://id.kb.se/term/ssif/10206,,Datorteknik,Computer Engineering
https://id.kb.se/term/ssif/10207,,Datorseende och robotik (autonoma system),Computer Vision and Robotics (Autonomous Systems)
https://id.kb.se/term/ssif/10208,,Språkteknologi (språkvetenskaplig databehandling),Language Technology (Computational Linguistics)
https://id.kb.se/term/ssif/10209,,Medieteknik,Media and Communication Technology
https://id.kb.se/term/ssif/10299,,Annan data- och informationsvetenskap,Other Computer and Information Science
https://id.kb.se/term/ssif/103,,Fysik,Physical Sciences
https://id.kb.se/term/ssif/10301,,Subatomär fysik,Subatomic Physics
https://id.kb.se/term/ssif/10302,,Atom- och molekylfysik och optik,Atom and Molecular Physics and Optics
https://id.kb.se/term/ssif/10303,,"Fusion, plasma och rymdfysik","Fusion, Plasma and Space Physics"
https://id.kb.se/term/ssif/10304,,Den kondenserade materiens fysik,Condensed Matter Physics
https://id.kb.se/term/ssif/10305,,"Astronomi, astrofysik och kosmologi","Astronomy, Astrophysics and Cosmology"
https://id.kb.se/term/ssif/10306,,Acceleratorfysik och instrumentering,Accelerator Physics and Instrumentation
https://id.kb.se/term/ssif/10399,,Annan fysik,Other Physics Topics
https://id.kb.se/term/ssif/104,,Kemi,Chemical Sciences
https://id.kb.se/term/ssif/10401,,Analytisk kemi,Analytical Chemistry
https://id.kb.se/term/ssif/10402,,Fysikalisk kemi,Physical Chemistry
https://id.kb.se/term/ssif/10403,,Materialkemi,Materials Chemistry
https://id.kb.se/term/ssif/10404,,Oorganisk kemi,Inorganic Chemistry
https://id.kb.se/term/ssif/10405,,Organisk kemi,Organic Chemistry
https://id.kb.se/term/ssif/10406,,Polymerkemi,Polymer Chemistry
https://id.kb.se/term/ssif/10407,,Teoretisk kemi,Theoretical Chemistry
https://id.kb.se/term/ssif/10499,,Annan kemi,Other Chemistry Topics
https://id.kb.se/term/ssif/105,,Geovetenskap och miljövetenskap,Earth and Related Environmental Sciences
https://id.kb.se/term/ssif/10501,,Klimatforskning,Climate Research
https://id.kb.se/term/ssif/10502,,Miljövetenskap (Samhällsvetenskapliga aspekter under 507),Environmental Sciences (social aspects to be 507)
https://id.kb.se/term/ssif/10503,,Multidisciplinär geovetenskap,"Geosciences, Multidisciplinary"
https://id.kb.se/term/ssif/10504,,Geologi,Geology
https://id.kb.se/term/ssif/10505,,Geofysik,Geophysics
https://id.kb.se/term/ssif/10506,,Geokemi,Geochemistry
https://id.kb.se/term/ssif/10507,,Naturgeografi,Physical Geography
https://id.kb.se/term/ssif/10508,,Meteorologi och atmosfärforskning,Meteorology and Atmospheric Sciences
https://id.kb.se/term/ssif/10509,,"Oceanografi, hydrologi och vattenresurser","Oceanography, Hydrology and Water Resources"
https://id.kb.se/term/ssif/10599,,Annan geovetenskap och miljövetenskap,Other Earth and Related Environmental Sciences
https://id.kb.se/term/ssif/106,,Biologi (Medicinska tillämpningar under 3 och lantbruksvetenskapliga under 4),Biological Sciences  (Medical to be 3 and Agricultural to be 4)
https://id.kb.se/term/ssif/10601,,Strukturbiologi,Structural Biology
https://id.kb.se/term/ssif/10602,,Biokemi och molekylärbiologi,Biochemistry and Molecular Biology
https://id.kb.se/term/ssif/10603,,Biofysik,Biophysics
https://id.kb.se/term/ssif/10604,,Cellbiologi,Cell Biology
https://id.kb.se/term/ssif/10605,,Immunologi (medicinsk under 30110 och lantbruksvetenskaplig under 40302),Immunology (medical  to be 30110 and agricultural to be 40302)
https://id.kb.se/term/ssif/10606,,Mikrobiologi (medicinsk under 30109 och lantbruksvetenskaplig under 40302),Microbiology (medical  to be 30109 and agricultural to be 40302)
https://id.kb.se/term/ssif/10607,,Botanik,Botany
https://id.kb.se/term/ssif/10608,,Zoologi,Zoology
https://id.kb.se/term/ssif/10609,,Genetik (medicinsk under 30107 och lantbruksvetenskaplig under 40402),Genetics (medical to be 30107 and agricultural to be 40402)
https://id.kb.se/term/ssif/10610,,Bioinformatik och systembiologi (metodutveckling under 10203),Bioinformatics and Systems Biology (methods development to be 10203)
https://id.kb.se/term/ssif/10611,,Ekologi,Ecology
https://id.kb.se/term/ssif/10612,,Biologisk systematik,Biological Systematics
https://id.kb.se/term/ssif/10613,,Etologi,Behavioural Sciences Biology
https://id.kb.se/term/ssif/10614,,Utvecklingsbiologi,Developmental Biology
https://id.kb.se/term/ssif/10615,,Evolutionsbiologi,Evolutionary Biology
