uri,notation,label_en,label_sv
https://id.kb.se/term/uka/1,,Natural sciences,Naturvetenskap
https://id.kb.se/term/uka/101,,Mathematics,Matematik
https://id.kb.se/term/uka/10101,,Mathematical Analysis,Matematisk analys
https://id.kb.se/term/uka/10102,,Geometry,Geometri
https://id.kb.se/term/uka/10103,,Algebra and Logic,Algebra och logik
https://id.kb.se/term/uka/10104,,Discrete Mathematics,Diskret matematik
https://id.kb.se/term/uka/10105,,Computational Mathematics,Beräkningsmatematik
https://id.kb.se/term/uka/10106,,Probability Theory and Statistics,Sannolikhetsteori och statistik
https://id.kb.se/term/uka/10199,,Other Mathematics,Annan matematik
https://id.kb.se/term/uka/102,,Computer and Information Sciences,Data- och informationsvetenskap (Datateknik)
https://id.kb.se/term/uka/10201,,Computer Sciences,Datavetenskap (datalogi)
https://id.kb.se/term/uka/10202,,Information Systems (Social aspects to be 50804),"Systemvetenskap, informationssystem och informatik (samhällsvetenskaplig inriktning under 50804)"
https://id.kb.se/term/uka/10203,,Bioinformatics (Computational Biology) (applications to be 10610),Bioinformatik (beräkningsbiologi) (tillämpningar under 10610)
https://id.kb.se/term/uka/10204,,Human Computer Interaction (Social aspects to be 50803),Människa-datorinteraktion (interaktionsdesign) (Samhällsvetenskapliga aspekter under 50803)
https://id.kb.se/term/uka/10205,,Software Engineering,Programvaruteknik
https://id.kb.se/term/uka/10206,,Computer Engineering,Datorteknik
https://id.kb.se/term/uka/10207,,Computer Vision and Robotics (Autonomous Systems),Datorseende och robotik (autonoma system)
https://id.kb.se/term/uka/10208,,Language Technology (Computational Linguistics),Språkteknologi (språkvetenskaplig databehandling)
https://id.kb.se/term/uka/10209,,Media and Communication Technology,Medieteknik
https://id.kb.se/term/uka/10299,,Other Computer and Information Science,Annan data- och informationsvetenskap
https://id.kb.se/term/uka/103,,Physical Sciences,Fysik
https://id.kb.se/term/uka/10301,,Subatomic Physics,Subatomär fysik
https://id.kb.se/term/uka/10302,,Atom and Molecular Physics and Optics,Atom- och molekylfysik och optik
https://id.kb.se/term/uka/10303,,"Fusion, Plasma and Space Physics","Fusion, plasma och rymdfysik"
