"level1","level2","level3","sv","en"
1,,,"Naturvetenskap","Natural sciences"
,101,,"Matematik","Mathematical sciences"
,,10101,"Matematisk analys ","Mathematical Analysis "
,,10102,"Geometri ","Geometry"
,,10103,"Algebra och logik ","Algebra and Logic "
,,10104,"Diskret matematik ","Discrete Mathematics"
,,10105,"Beräkningsmatematik ","Computational Mathematics"
,,10106,"Sannolikhetsteori och statistik (Statistik med medicinska aspekter under 30118 och samhällsvetenskapliga aspekter under 50907)","Probability Theory and Statistics (Statistics with medical aspects at 30118 and with social aspects at 50907)"
,,10199,"Annan matematik ","Other Mathematics"
,102,,"Data- och informationsvetenskap (Datateknik)","Computer and Information Sciences"
,,10201,"Datavetenskap (datalogi) ","Computer Sciences"
,,10202,"Systemvetenskap, informationssystem och informatik (Samhällsvetenskapliga aspekter under 50804)","Information Systems (Social aspects at 50804)"
,,10203,"Bioinformatik (beräkningsbiologi) (Tillämpningar under 10610)","Bioinformatics (Computational Biology) (Applications at 10610)"
,,10204,"Människa-datorinteraktion (interaktionsdesign) (Samhällsvetenskapliga aspekter under 50804)","Human Computer Interaction (Social aspects at 50804)"
,,10205,"Programvaruteknik ","Software Engineering"
,,10206,"Datorteknik ","Computer Engineering"
,,10207,"Datorgrafik och datorseende (Systemtekniska aspekter under 20208)","Computer graphics and computer vision (System engineering aspects at 20208)"
,,10208,"Språkbehandling och datorlingvistik","Natural Language Processing"
,,10210,"Artificiell intelligens","Artificial Intelligence"
,,10211,"Säkerhet, integritet och kryptologi","Security, Privacy and Cryptography"
,,10212,"Algoritmer","Algorithms"
,,10213,"Formella metoder","Formal Methods"
,,10214,"Nätverks-, parallell- och distribuerad beräkning","Networked, Parallel and Distributed Computing"
,,10299,"Annan data- och informationsvetenskap ","Other Computer and Information 		Science"
,103,,"Fysik","Physical Sciences"
,,10301,"Subatomär fysik ","Subatomic Physics"
,,,"Här ingår:","Including:"
,,,"fält- och partikelfysik ","Particle and Field Physics "
,,,"astropartikelfysik ","Astroparticle Physics"
,,,"kärnfysik ","Nuclear Physics"
,,,"acceleratorfysik","Accelerator Physics"
,,10302,"Atom- och molekylfysik och optik","Atom and Molecular Physics and Optics"
,,,"Här ingår:","Including:"
,,,"kemisk fysik ","Chemical Physics "
,,,"kvantoptik","Quantum Optics"
,,10303,"Fusion, plasma och rymdfysik ","Fusion, Plasma and Space Physics"
,,10304,"Den kondenserade materiens fysik ","Condensed Matter Physics"
,,,"Här ingår:","Including:"
,,,"materialfysik","Material Physics"
,,,"nanofysik ","Nano Physics "
,,10305,"Astronomi, astrofysik och kosmologi ","Astronomy, Astrophysics, and Cosmology "
,,10307,"Biofysik ","Biophysics "
,,10308,"Statistisk fysik och komplexa system","Statistical physics and complex systems"
" ",,10399,"Annan fysik","Other Physics Topics"
,104,,"Kemi","Chemical Sciences"
,,10401,"Analytisk kemi ","Analytical Chemistry"
,,10402,"Fysikalisk kemi ","Physical Chemistry"
,,,"Här ingår:","Including:"
,,,"yt- och kolloidkemi","Surface- and Colloid Chemistry"
,,10403,"Materialkemi ","Materials Chemistry"
,,10404,"Oorganisk kemi ","Inorganic Chemistry "
,,10405,"Organisk kemi","Organic Chemistry "
,,,"Här ingår:","Including:"
,,,"läkemedelskemi (Medicinsk inriktning under 30103)","Medicinal Chemistry (Medical focus at 30103)"
,,10406,"Polymerkemi ","Polymer Chemistry"
,,10407,"Teoretisk kemi","Theoretical Chemistry "
,,,"Här ingår:","Including:"
,,,"beräkningskemi","Computational Chemistry"
,,10408,"Biokemi","Biochemistry"
,,10499,"Annan kemi","Other Chemistry Topics"
,105,,"Geovetenskap och relaterad miljövetenskap ","Earth and Related Environmental Sciences "
,,10501,"Klimatvetenskap","Climate Science"
,,10502,"Miljövetenskap (Samhällsvetenskapliga aspekter under 50909 och lantbruksvetenskapliga under 40504)","Environmental Sciences (Social aspects at 50909 and agricultural at 40504)"
,,10503,"Multidisciplinär geovetenskap ","Multidisciplinary Geosciences"
,,10504,"Geologi (Geoteknik och teknisk geologi under 20106)","Geology (Geotechnical Engineering and Engineering Geology at 20106)"
,,10505,"Geofysik (Tillämningar med jordobservationsteknik under 20703)","Geophysics (Applications with Earth Observation at 20703)"
,,10506,"Geokemi ","Geochemistry"
,,10507,"Naturgeografi ","Physical Geography"
,,10508,"Meteorologi och atmosfärsvetenskap","Meteorology and Atmospheric Sciences "
,,10509,"Oceanografi, hydrologi och vattenresurser","Oceanography, Hydrology and Water Resources"
,,10510,"Paleontologi och paleoekologi","Palaeontology and Palaeoecology"
,,10599,"Annan geovetenskap","Other Earth Sciences"
,,,"Här ingår:","Including:"
,,,"Geografisk informationsvetenskap","Geographical Information Science"
,106,,"Biologi (Medicinska tillämpningar under 3 och lantbruksvetenskapliga under 4)","Biological Sciences (Medical aspects at 3 and agricultural at 4)"
,,10601,"Strukturbiologi ","Structural Biology "
,,10604,"Cellbiologi ","Cell Biology"
,,10605,"Immunologi (Medicinska aspekter under 30110 och lantbruksvetenskapliga under 40302)","Immunology (Medical aspects at 30110 and agricultural at 40302)"
,,10606,"Mikrobiologi (Medicinska aspekter under 30109 och lantbruksvetenskapliga under 40302)","Microbiology (Medical aspects at 30109 and agricultural at 40302)"
,,10607,"Botanik ","Botany"
,,10608,"Zoologi ","Zoology "
,,10609,"Genetik och genomik (Medicinska aspekter under 30107 och lantbruksvetenskapliga under 40402)","Genetics and Genomics (Medical aspects at 30107 and agricultural at 40402)"
,,10610,"Bioinformatik och beräkningsbiologi (Metodutveckling under 10203)","Bioinformatics and Computational Biology (Methods development to be 10203)"
,,,"Här ingår:","Including:"
,,,"modellering","Modelling"
,,,"maskininlärning","Machine Learning"
,,10611,"Ekologi ","Ecology"
,,,"Här ingår:","Including:"
,,,"bevarandebiologi (Biodiversitet med lantbruksvetenskaplig inriktning under 40504)","Biodiversity Conservation (Biodiversity within agricultural sciences at 40504)"
,,10612,"Biologisk systematik ","Biological Systematics"
,,10613,"Etologi ","Behavioural Sciences Biology"
,,10614,"Utvecklingsbiologi","Developmental Biology"
,,10615,"Evolutionsbiologi ","Evolutionary Biology"
,,10616,"Molekylärbiologi ","Molecular Biology"
,,10699,"Annan biologi ","Other Biological Topics"
,107,,"Annan naturvetenskap","Other Natural Sciences"
,,10799,"Annan naturvetenskap","Other Natural Sciences"
2,,,"Teknik  ","Engineering and Technology"
,201,,"Samhällsbyggnadsteknik","Civil Engineering "
,,20101,"Arkitekturteknik","Architectural Engineering"
,,20102,"Byggprocess och förvaltning","Construction Management"
,,,"Här ingår:","Including:"
,,,"Miljöanalys och bygginformationsteknik","Environmental Analysis and Construction Information Technology"
,,20103,"Husbyggnad","Building Technologies"
,,20104,"Infrastrukturteknik","Infrastructure Engineering"
,,20105,"Transportteknik och logistik","Transport Systems and Logistics"
,,20106,"Geoteknik och teknisk geologi","Geotechnical Engineering and Engineering Geology"
,,20107,"Vattenteknik ","Water Engineering"
,,20109,"Byggkonstruktion","Structural Engineering "
,,20110,"Byggnadsmaterial","Building materials "
,,20199,"Annan samhällsbyggnadsteknik","Other Civil Engineering"
,202,,"Elektroteknik och elektronik","Electrical Engineering, Electronic Engineering, Information Engineering"
,,20201,"Robotik och automation","Robotics and automation"
,,20202,"Reglerteknik","Control Engineering"
,,20203,"Kommunikationssystem","Communication Systems"
,,20204,"Telekommunikation","Telecommunications"
,,20205,"Signalbehandling","Signal Processing"
,,20206,"Datorsystem","Computer Systems"
,,20207,"Inbäddad systemteknik","Embedded Systems"
,,20208,"Datorseende och lärande system (Datavetenskapliga aspekter under 10207)","Computer Vision and learning System (Computer Sciences aspects in 10207)"
,,20209,"Elkraftsystem och -komponenter","Power Systems and Components"
,,20299,"Annan elektroteknik och elektronik","Other Electrical Engineering, Electronic Engineering, Information Engineering"
,203,,"Maskinteknik","Mechanical Engineering"
,,20301,"Teknisk mekanik","Applied Mechanics "
,,20302,"Farkost och rymdteknik","Vehicle and Aerospace Engineering"
,,,"Här ingår:",
,,,"Flygteknik",
,,20304,"Energiteknik","Energy Engineering"
,,20305,"Tillförlitlighets- och kvalitetsteknik","Reliability and Maintenance"
,,20306,"Strömningsmekanik","Fluid Mechanics"
,,20307,"Produktionsteknik, arbetsvetenskap och ergonomi","Production Engineering, Human Work Science and Ergonomics"
,,20309,"Solid- och strukturmekanik","Solid and Structural Mechanics"
,,20310,"Industriell ekonomi","Industrial engineering and management"
" ",,20399,"Annan maskinteknik ","Other Mechanical Engineering"
,,,"Här ingår:","Including:"
,,,"logistik","Logistics"
,,,"förbränningsteknik","Combustion Technology"
,,,"återvinningsteknik","Recycling Technology "
,,,"tribologi","Tribology"
,,,"akustik","Acoustics"
,204,,"Kemiteknik","Chemical Engineering"
,,20402,"Yt- och korrosionsteknik","Surface- and Corrosion Engineering "
,,,"Här ingår","Including:"
,,,"kemisk tribologi","Chemical tribology"
,,20403,"Polymerteknologi","Polymer Technologies"
,,20405,"Katalytiska processer ","Catalytic Processes"
,,20406,"Separationsprocesser","Separation Processes"
,,20407,"Livsmedelsprocessteknik","Circular Food Process Technologies"
,,20499,"Annan kemiteknik","Other Chemical Engineering"
,205,,"Materialteknik","Materials Engineering"
,,20501,"Keramiska och pulvermetallurgiska material","Ceramics and Powder Metallurgical Materials"
,,20502,"Kompositmaterial och kompositteknik","Composite Science and Engineering"
,,20503,"Pappers-, massa- och fiberteknik","Paper, Pulp and Fiber Technology"
,,20504,"Textil-, gummi- och polymermaterial","Textile, Rubber and Polymeric Materials"
,,20505,"Bearbetnings-, yt- och fogningsteknik","Manufacturing, Surface and Joining Technology"
,,20506,"Metallurgi och metalliska material","Metallurgy and Metallic Materials"
,,20599,"Annan materialteknik","Other Materials Engineering"
,206,,"Medicinteknik","Medical Engineering"
,,20601,"Medicinsk laboratorieteknik","Medical Laboratory Technologies"
,,20602,"Medicinsk materialteknik","Medical Materials"
,,,"Här ingår:","Including:"
,,,"Protesteknik","Prosthesis technologies"
,,20603,"Medicinsk bildvetenskap","Medical Imaging"
,,20604,"Medicinsk instrumentering","Medical Instrumentation"
,,,"Här ingår:","Including:"
,,,"Mätteknik","Measurement Technologies"
,,20605,"Medicinsk modellering och simulering","Medical Modelling and Simulation"
,,20606,"Medicinteknisk informatik (Medicinska aspekter under 30117)","Medical Informatics Engineering (Medical aspects at 30117)"
,,20699,"Annan medicinteknik","Other Medical Engineering"
,207,,"Naturresursteknik","Environmental Engineering"
